Job Title,Position,Company,Job Type,Skill,Work Type,Industry Type,Seniority,City,Province,Min Salary,Max Salary
Business Systems Analyst,Systems Analyst,PressReader,Full-Time,"Power Platform, Power Bi, Excel, Database",In-Person,Media,ANY,Richmond,BC,70000.0,85000.0
"Senior Manager, Business Intelligence And Reporting, Enterprise Insider Risk Management",Business Analyst,TD Bank,Full-Time,"R, C",In-Person,Finance,Senior,Toronto,ON,66914.0,100177.0
"Senior Manager, Business Intelligence And Reporting, Enterprise Conduct Risk Management",Business Analyst,TD Bank,Full-Time,Undef,In-Person,Finance,Senior,Toronto,ON,62552.0,103336.0
Lead Business Systems Analyst (Sap Successfactors),Systems Analyst,Magic Leap - Multiple Locations,Full-Time,"C#, Database",Remote,Others,Senior,Remote,Undef,99023.0,106237.0
Treasury Analyst,Others Analyst,City of Richmond BC,Full-Time,Excel,In-Person,Government,ANY,Richmond,BC,83345.0,98404.0
Total Rewards Analyst,Others Analyst,SAIT Polytechnic,Full-Time,Excel,In-Person,Technology,ANY,Calgary,AB,65000.0,85000.0
"Fcm - Data Quality Analyst- Remote, Canada",IT Analyst,FCM,Full-Time,Power BI,Remote,Others,ANY,Remote,Undef,87000.0,120905.0
Data Analyst (Street Operations),Data Analyst,The City of Vancouver,Full-Time,"Power Bi, Excel, Big Data, Sql",In-Person,Technology,ANY,Vancouver,BC,87443.0,103272.0
Res O 21R - Data Analyst,Data Analyst,BC Public Service,Full-Time,"Python, Sql, R",In-Person,Service,ANY,Burnaby,BC,69760.0,79322.0
Data Analyst,Data Analyst,Fraser Health,Full-Time,"Sql, Sas, R, Tableau, Vbscript, Power Bi, Python",In-Person,Healthcare,ANY,Surrey,BC,79289.0,113984.0
Data Centre Analyst,Others Analyst,TransLink,Full-Time,C,In-Person,Others,ANY,Metro Vancouver Regional District,BC,95724.0,115116.0
Business Configuration Analyst,Business Analyst,Medavie Blue Cross,Full-Time,"Power BI, Sql",Remote,Others,ANY,Remote,Undef,78210.0,107884.0
Performance Data Analyst (Internal Only),Data Analyst,MacEwan University,Part-Time,"Database, Power Bi, Sql",In-Person,Education,Junior,Edmonton,AB,69898.0,101684.0
Business Intelligence Developer,Business Analyst,Novartis,Full-Time,"Power Bi, Sql, Alteryx, Snowflake, Database",In-Person,Others,ANY,Montréal,QC,86233.0,124168.0
Intermediate Data Support Analyst (6-Month Contract),Others Analyst,AGF Management Limited,Part-Time,"Eagle, Sql, Excel, Vba, Database",In-Person,Others,Mid,Toronto,ON,11028.0,77827.0
Program Data Analyst,Data Analyst,Nova Scotia School Boards (NSSB),Full-Time,Excel,In-Person,Education,ANY,Berwick,NS,46531.0,58164.0
Quantitative Data Analyst,Data Analyst,The Mustard Seed Society,Full-Time,"Tableau, Sql, Php, Excel, Power Bi, Python, Vba, R",In-Person,Others,ANY,Calgary,AB,73233.0,81051.0
Methods Analyst I - Wellness Data Analyst,Data Analyst,City of Edmonton,Full-Time,"Power Bi, Excel",In-Person,Government,ANY,Edmonton,AB,80928.0,101106.0
"Analyst, Local Sales Pricing",Others Analyst,SYSCO FOOD SERVICES,Full-Time,"Maple, Excel, Sql",Remote,Service,ANY,Moncton,NB,45016.0,93603.0
Jr. Qa Analyst,QA Analyst,indikor.com,Full-Time,"Sql, Github, C#, Gitlab, Javascript",Remote,Others,Junior,Remote,Undef,79226.0,83364.0
"Analyst, Local Sales Pricing",Others Analyst,SYSCO FOOD SERVICES,Full-Time,"Maple, Excel, Sql",Remote,Service,ANY,Mount Pearl,NL,45016.0,93603.0
"Analyst, Local Sales Pricing",Others Analyst,SYSCO FOOD SERVICES,Full-Time,"Maple, Excel, Sql",Remote,Service,ANY,Milton,ON,45016.0,93603.0
"Senior Analyst, Data Integration, Methods And Tools",Others Analyst,Canadian Institute for Health Information,Full-Time,"Python, R, Machine Learning",In-Person,Healthcare,Senior,Ottawa,ON,47405.0,153053.0
"Analyst, Local Sales Pricing",Others Analyst,SYSCO FOOD SERVICES,Full-Time,"Maple, Excel, Sql",Remote,Service,ANY,Boucherville,QC,45016.0,93603.0
"Business Data Analyst, Reporting & Audit",Data Analyst,PartnerRe,Full-Time,"Vba, Sql, Power Bi, Alteryx",In-Person,Others,ANY,Toronto,ON,92602.0,105274.0
"Analyst, Local Sales Pricing",Others Analyst,SYSCO FOOD SERVICES,Full-Time,"Maple, Excel, Sql",Remote,Service,ANY,Woodstock,ON,45016.0,93603.0
